fighter,opponent,method,round,time,time_format,referee,event_date,event_location,event_url,f_rd1_KD,f_rd1_Sig_str,f_rd1_Total_str,f_rd1_Sub_att,f_rd1_Rev,f_rd1_Ctrl,o_rd1_KD,o_rd1_Sig_str,o_rd1_Total_str,o_rd1_Sub_att,o_rd1_Rev,o_rd1_Ctrl,f_rd1_Head,f_rd1_Body,f_rd1_Leg,f_rd1_Distance,f_rd1_Clinch,f_rd1_Ground,o_rd1_Head,o_rd1_Body,o_rd1_Leg,o_rd1_Distance,o_rd1_Clinch,o_rd1_Ground
Gilbert Burns,Aleksei Kunchenko,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,"August 10, 2019","Montevideo, Uruguay",http://ufcstats.com/event-details/e5d03e4d966126bd,0,15 of 27,30 of 44,0,0,3:07,0,7 of 15,19 of 27,0,0,0:00,7 of 17,4 of 5,4 of 5,9 of 17,1 of 2,5 of 8,2 of 9,0 of 1,5 of 5,6 of 14,0 of 0,1 of 1
Rogerio Bontorin,Raulian Paiva,TKO - Doctor's Stoppage,1,2:56,3 Rnd (5-5-5),Osiris Maia,"August 10, 2019","Montevideo, Uruguay",http://ufcstats.com/event-details/e5d03e4d966126bd,0,8 of 15,8 of 16,0,0,1:19,0,3 of 15,7 of 19,0,0,0:00,6 of 13,0 of 0,2 of 2,7 of 14,1 of 1,0 of 0,3 of 14,0 of 1,0 of 0,3 of 15,0 of 0,0 of 0
Ciryl Gane,Raphael Pessoa,Submission,1,4:12,3 Rnd (5-5-5),Eduardo Herdy,"August 10, 2019","Montevideo, Uruguay",http://ufcstats.com/event-details/e5d03e4d966126bd,0,15 of 22,20 of 28,1,0,0:33,0,7 of 41,9 of 43,0,0,0:01,7 of 13,4 of 5,4 of 4,14 of 19,1 of 1,0 of 2,5 of 36,2 of 3,0 of 2,6 of 37,1 of 4,0 of 0
Tecia Torres,Marina Rodriguez,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Fernando Portella,"August 10, 2019","Montevideo, Uruguay",http://ufcstats.com/event-details/e5d03e4d966126bd,0,14 of 38,19 of 43,0,0,0:28,0,25 of 55,30 of 60,0,0,0:07,7 of 29,4 of 6,3 of 3,7 of 29,7 of 9,0 of 0,14 of 32,4 of 10,7 of 13,19 of 49,6 of 6,0 of 0
Enrique Barzola,Bobby Moffett,Decision - Split,3,5:00,3 Rnd (5-5-5),Fernando Portella,"August 10, 2019","Montevideo, Uruguay",http://ufcstats.com/event-details/e5d03e4d966126bd,0,28 of 75,28 of 75,0,0,0:04,0,24 of 68,24 of 68,0,0,0:00,15 of 62,9 of 9,4 of 4,28 of 73,0 of 2,0 of 0,11 of 52,7 of 9,6 of 7,24 of 68,0 of 0,0 of 0
Geraldo de Freitas,Chris Gutierrez,Decision - Split,3,5:00,3 Rnd (5-5-5),Eduardo Herdy,"August 10, 2019","Montevideo, Uruguay",http://ufcstats.com/event-details/e5d03e4d966126bd,0,8 of 31,13 of 38,0,0,0:44,0,14 of 29,14 of 29,0,0,0:06,1 of 23,4 of 4,3 of 4,8 of 31,0 of 0,0 of 0,4 of 15,1 of 2,9 of 12,13 of 28,1 of 1,0 of 0
Vicente Luque,Mike Perry,Decision - Split,3,5:00,3 Rnd (5-5-5),Eduardo Herdy,"August 10, 2019","Montevideo, Uruguay",http://ufcstats.com/event-details/e5d03e4d966126bd,0,28 of 61,28 of 61,0,0,0:00,0,32 of 71,32 of 71,0,0,0:00,12 of 38,4 of 4,12 of 19,27 of 60,1 of 1,0 of 0,22 of 59,4 of 6,6 of 6,32 of 69,0 of 2,0 of 0
Roxanne Modafferi,Jennifer Maia,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,"July 20, 2019","San Antonio, Texas, USA",http://ufcstats.com/event-details/9e0f28d1f639ad73,0,6 of 23,20 of 40,0,0,1:47,0,13 of 35,24 of 48,0,0,1:12,5 of 20,0 of 1,1 of 2,6 of 23,0 of 0,0 of 0,11 of 33,2 of 2,0 of 0,8 of 29,5 of 6,0 of 0
Valentina Shevchenko,Liz Carmouche,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Keith Peterson,"August 10, 2019","Montevideo, Uruguay",http://ufcstats.com/event-details/e5d03e4d966126bd,0,7 of 26,7 of 26,0,0,0:00,0,4 of 19,4 of 19,0,0,0:00,3 of 18,0 of 1,4 of 7,7 of 26,0 of 0,0 of 0,0 of 10,2 of 2,2 of 7,4 of 19,0 of 0,0 of 0
Rodolfo Vieira,Oskar Piechota,Submission,2,4:26,3 Rnd (5-5-5),Osiris Maia,"August 10, 2019","Montevideo, Uruguay",http://ufcstats.com/event-details/e5d03e4d966126bd,0,10 of 21,18 of 31,0,0,2:39,0,18 of 27,29 of 39,0,0,0:00,9 of 19,1 of 2,0 of 0,3 of 9,0 of 0,7 of 12,16 of 23,2 of 4,0 of 0,4 of 11,12 of 14,2 of 2
Eduardo Garagorri,Humberto Bandenay,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Osiris Maia,"August 10, 2019","Montevideo, Uruguay",http://ufcstats.com/event-details/e5d03e4d966126bd,0,17 of 31,21 of 35,0,0,0:52,0,5 of 11,7 of 13,0,0,1:55,11 of 22,2 of 4,4 of 5,9 of 22,4 of 5,4 of 4,1 of 7,4 of 4,0 of 0,1 of 7,4 of 4,0 of 0
Volkan Oezdemir,Ilir Latifi,KO/TKO,2,4:31,3 Rnd (5-5-5),Keith Peterson,"August 10, 2019","Montevideo, Uruguay",http://ufcstats.com/event-details/e5d03e4d966126bd,0,22 of 45,44 of 68,0,0,0:12,0,5 of 19,7 of 21,0,0,1:06,12 of 35,4 of 4,6 of 6,17 of 37,5 of 8,0 of 0,5 of 18,0 of 1,0 of 0,4 of 16,1 of 3,0 of 0
Ray Borg,Gabriel Silva,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,"July 20, 2019","San Antonio, Texas, USA",http://ufcstats.com/event-details/9e0f28d1f639ad73,0,5 of 9,6 of 10,0,0,1:54,0,5 of 12,22 of 32,0,0,1:44,3 of 7,1 of 1,1 of 1,2 of 6,3 of 3,0 of 0,5 of 11,0 of 1,0 of 0,3 of 8,2 of 4,0 of 0
Raquel Pennington,Irene Aldana,Decision - Split,3,5:00,3 Rnd (5-5-5),Frank Collazo,"July 20, 2019","San Antonio, Texas, USA",http://ufcstats.com/event-details/9e0f28d1f639ad73,0,16 of 59,16 of 59,0,0,0:00,0,21 of 98,21 of 98,0,0,0:00,6 of 43,5 of 11,5 of 5,16 of 59,0 of 0,0 of 0,12 of 72,3 of 13,6 of 13,21 of 98,0 of 0,0 of 0
Sam Alvey,Klidson Abreu,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,"July 20, 2019","San Antonio, Texas, USA",http://ufcstats.com/event-details/9e0f28d1f639ad73,0,6 of 21,18 of 34,0,0,0:47,0,13 of 25,27 of 39,0,0,0:23,2 of 16,0 of 0,4 of 5,5 of 20,1 of 1,0 of 0,7 of 16,4 of 6,2 of 3,12 of 24,1 of 1,0 of 0
Andrei Arlovski,Ben Rothwell,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,"July 20, 2019","San Antonio, Texas, USA",http://ufcstats.com/event-details/9e0f28d1f639ad73,0,54 of 103,54 of 103,0,0,0:00,0,29 of 73,29 of 73,0,0,0:00,33 of 77,14 of 18,7 of 8,54 of 103,0 of 0,0 of 0,20 of 62,5 of 7,4 of 4,29 of 73,0 of 0,0 of 0
James Vick,Dan Hooker,KO/TKO,1,2:33,3 Rnd (5-5-5),Kerry Hatley,"July 20, 2019","San Antonio, Texas, USA",http://ufcstats.com/event-details/9e0f28d1f639ad73,0,7 of 23,7 of 23,0,0,0:00,1,22 of 41,22 of 41,0,0,0:03,2 of 16,0 of 1,5 of 6,7 of 23,0 of 0,0 of 0,13 of 24,0 of 3,9 of 14,19 of 38,0 of 0,3 of 3
Alexander Hernandez,Francisco Trinaldo,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Frank Collazo,"July 20, 2019","San Antonio, Texas, USA",http://ufcstats.com/event-details/9e0f28d1f639ad73,0,8 of 30,8 of 30,0,0,0:00,0,8 of 14,8 of 14,0,0,0:00,1 of 17,5 of 10,2 of 3,8 of 30,0 of 0,0 of 0,5 of 9,3 of 5,0 of 0,8 of 14,0 of 0,0 of 0
Aleksei Oleinik,Walt Harris,KO/TKO,1,0:12,3 Rnd (5-5-5),Jacob Montalvo,"July 20, 2019","San Antonio, Texas, USA",http://ufcstats.com/event-details/9e0f28d1f639ad73,0,1 of 3,1 of 3,0,0,0:00,1,4 of 7,4 of 7,0,0,0:01,0 of 1,1 of 1,0 of 1,1 of 3,0 of 0,0 of 0,2 of 5,2 of 2,0 of 0,2 of 5,0 of 0,2 of 2
Greg Hardy,Juan Adams,KO/TKO,1,0:45,3 Rnd (5-5-5),Dan Miragliotta,"July 20, 2019","San Antonio, Texas, USA",http://ufcstats.com/event-details/9e0f28d1f639ad73,0,36 of 38,36 of 38,0,0,0:17,0,3 of 7,3 of 7,0,0,0:00,35 of 36,1 of 2,0 of 0,5 of 7,0 of 0,31 of 31,3 of 7,0 of 0,0 of 0,3 of 7,0 of 0,0 of 0
Pingyuan Liu,Jonathan Martinez,KO/TKO,3,3:54,3 Rnd (5-5-5),Josh Rosenthal,"July 13, 2019","Sacramento, California, USA",http://ufcstats.com/event-details/2f8f3c69522db931,0,15 of 60,15 of 60,0,0,0:00,0,15 of 47,15 of 47,0,0,0:00,8 of 50,5 of 7,2 of 3,12 of 56,3 of 4,0 of 0,9 of 38,4 of 6,2 of 3,15 of 47,0 of 0,0 of 0
Alex Caceres,Steven Peterson,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,"July 20, 2019","San Antonio, Texas, USA",http://ufcstats.com/event-details/9e0f28d1f639ad73,0,20 of 41,20 of 41,0,0,0:00,0,19 of 54,25 of 61,0,0,1:36,14 of 31,4 of 8,2 of 2,20 of 41,0 of 0,0 of 0,9 of 38,3 of 8,7 of 8,19 of 54,0 of 0,0 of 0
Darren Elkins,Ryan Hall,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Blake Grice,"July 13, 2019","Sacramento, California, USA",http://ufcstats.com/event-details/2f8f3c69522db931,0,9 of 38,9 of 38,0,0,0:55,1,12 of 24,14 of 29,1,1,0:04,2 of 20,1 of 2,6 of 16,2 of 17,1 of 1,6 of 20,6 of 13,4 of 8,2 of 3,11 of 23,0 of 0,1 of 1
Rafael Dos Anjos,Leon Edwards,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,"July 20, 2019","San Antonio, Texas, USA",http://ufcstats.com/event-details/9e0f28d1f639ad73,0,8 of 12,19 of 23,0,0,0:07,0,6 of 15,11 of 25,0,0,3:14,3 of 6,1 of 2,4 of 4,8 of 12,0 of 0,0 of 0,5 of 13,1 of 2,0 of 0,3 of 12,1 of 1,2 of 2
Livinha Souza,Brianna Fortino,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,"July 13, 2019","Sacramento, California, USA",http://ufcstats.com/event-details/2f8f3c69522db931,0,12 of 23,19 of 30,0,0,0:21,0,19 of 54,27 of 62,0,0,2:26,4 of 11,6 of 10,2 of 2,4 of 13,7 of 9,1 of 1,12 of 43,4 of 5,3 of 6,11 of 38,7 of 14,1 of 2
Julianna Pena,Nicco Montano,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,"July 13, 2019","Sacramento, California, USA",http://ufcstats.com/event-details/2f8f3c69522db931,0,9 of 19,14 of 24,0,0,0:00,0,11 of 25,25 of 42,0,0,4:07,4 of 13,5 of 5,0 of 1,3 of 12,6 of 7,0 of 0,5 of 16,1 of 1,5 of 8,5 of 14,2 of 5,4 of 6
Andre Fili,Sheymon Moraes,KO/TKO,1,3:07,3 Rnd (5-5-5),Jason Herzog,"July 13, 2019","Sacramento, California, USA",http://ufcstats.com/event-details/2f8f3c69522db931,1,19 of 55,20 of 58,0,0,0:05,0,11 of 22,11 of 22,0,0,0:00,16 of 50,2 of 4,1 of 1,15 of 50,0 of 0,4 of 5,2 of 11,3 of 5,6 of 6,11 of 22,0 of 0,0 of 0
Marvin Vettori,Cezar Ferreira,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"July 13, 2019","Sacramento, California, USA",http://ufcstats.com/event-details/2f8f3c69522db931,0,23 of 46,39 of 62,0,0,0:49,0,17 of 30,17 of 30,0,0,0:00,21 of 42,2 of 4,0 of 0,13 of 31,4 of 6,6 of 9,2 of 12,5 of 7,10 of 11,16 of 29,1 of 1,0 of 0
Urijah Faber,Ricky Simon,KO/TKO,1,0:46,3 Rnd (5-5-5),Mike Beltran,"July 13, 2019","Sacramento, California, USA",http://ufcstats.com/event-details/2f8f3c69522db931,1,11 of 15,11 of 15,0,0,0:08,0,4 of 8,4 of 8,0,0,0:00,9 of 13,1 of 1,1 of 1,3 of 5,0 of 0,8 of 10,2 of 5,0 of 0,2 of 3,4 of 8,0 of 0,0 of 0
Mike Rodriguez,John Allan,Overturned,3,5:00,3 Rnd (5-5-5),Mike Beltran,"July 13, 2019","Sacramento, California, USA",http://ufcstats.com/event-details/2f8f3c69522db931,0,29 of 62,29 of 62,0,0,0:20,0,17 of 37,19 of 39,1,0,0:57,15 of 42,9 of 14,5 of 6,29 of 62,0 of 0,0 of 0,9 of 27,2 of 4,6 of 6,15 of 34,2 of 3,0 of 0
Josh Emmett,Mirsad Bektic,KO/TKO,1,4:25,3 Rnd (5-5-5),Jason Herzog,"July 13, 2019","Sacramento, California, USA",http://ufcstats.com/event-details/2f8f3c69522db931,1,27 of 52,33 of 60,0,0,0:29,0,10 of 65,10 of 65,0,0,0:00,22 of 43,3 of 6,2 of 3,12 of 32,0 of 0,15 of 20,8 of 62,1 of 2,1 of 1,10 of 65,0 of 0,0 of 0
Karl Roberson,Wellington Turman,Decision - Split,3,5:00,3 Rnd (5-5-5),Blake Grice,"July 13, 2019","Sacramento, California, USA",http://ufcstats.com/event-details/2f8f3c69522db931,0,23 of 38,41 of 58,0,1,3:14,0,9 of 16,11 of 18,1,0,0:57,17 of 31,4 of 5,2 of 2,7 of 18,0 of 0,16 of 20,8 of 15,1 of 1,0 of 0,6 of 13,0 of 0,3 of 3
Germaine de Randamie,Aspen Ladd,KO/TKO,1,0:16,5 Rnd (5-5-5-5-5),Herb Dean,"July 13, 2019","Sacramento, California, USA",http://ufcstats.com/event-details/2f8f3c69522db931,1,4 of 5,4 of 5,0,0,0:01,0,0 of 4,0 of 4,0,0,0:00,3 of 4,1 of 1,0 of 0,3 of 4,0 of 0,1 of 1,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
Punahele Soriano,Oskar Piechota,KO/TKO,1,3:17,3 Rnd (5-5-5),Chris Tognoni,"December 14, 2019","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/4565d435005319c0,2,26 of 44,26 of 46,0,0,1:14,0,8 of 17,11 of 20,0,1,0:18,20 of 37,6 of 7,0 of 0,10 of 19,2 of 3,14 of 22,4 of 11,3 of 4,1 of 2,3 of 12,4 of 4,1 of 1
Jessica Eye,Viviane Araujo,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"December 14, 2019","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/4565d435005319c0,0,25 of 59,25 of 59,0,0,0:00,0,26 of 49,37 of 60,0,0,1:16,13 of 41,8 of 12,4 of 6,22 of 56,3 of 3,0 of 0,16 of 39,3 of 3,7 of 7,21 of 42,2 of 3,3 of 4
Brandon Moreno,Kai Kara-France,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,"December 14, 2019","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/4565d435005319c0,0,27 of 90,27 of 90,0,0,0:00,0,29 of 71,29 of 71,0,0,0:00,23 of 86,3 of 3,1 of 1,27 of 90,0 of 0,0 of 0,20 of 56,4 of 6,5 of 9,29 of 71,0 of 0,0 of 0
Vanessa Melo,Tracy Cortez,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",http://ufcstats.com/event-details/81ca2c245b19b3c5,0,21 of 87,22 of 88,0,0,0:00,0,41 of 82,41 of 82,0,0,0:00,20 of 86,1 of 1,0 of 0,21 of 87,0 of 0,0 of 0,30 of 66,6 of 8,5 of 8,40 of 81,1 of 1,0 of 0
Matt Brown,Ben Saunders,KO/TKO,2,4:55,3 Rnd (5-5-5),Keith Peterson,"December 14, 2019","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/4565d435005319c0,0,5 of 10,10 of 17,0,0,4:08,0,9 of 14,14 of 19,4,0,0:00,4 of 8,1 of 2,0 of 0,3 of 6,0 of 0,2 of 4,9 of 12,0 of 2,0 of 0,2 of 6,0 of 0,7 of 8
Ian Heinisch,Omari Akhmedov,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"December 14, 2019","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/4565d435005319c0,0,13 of 28,17 of 32,0,0,0:00,0,19 of 54,21 of 56,0,0,0:39,3 of 11,1 of 8,9 of 9,13 of 28,0 of 0,0 of 0,12 of 46,4 of 5,3 of 3,17 of 52,2 of 2,0 of 0
Chase Hooper,Daniel Teymur,KO/TKO,1,4:34,3 Rnd (5-5-5),Jason Herzog,"December 14, 2019","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/4565d435005319c0,0,20 of 36,37 of 70,2,0,3:14,0,2 of 6,2 of 6,1,0,0:40,17 of 32,2 of 3,1 of 1,3 of 4,1 of 1,16 of 31,2 of 6,0 of 0,0 of 0,2 of 4,0 of 0,0 of 2
Mark De La Rosa,Raulian Paiva,KO/TKO,2,4:42,3 Rnd (5-5-5),Robert Romero,"February 15, 2020","Rio Rancho, New Mexico, USA",http://ufcstats.com/event-details/5df17b3620145578,0,22 of 57,22 of 57,0,0,0:00,0,19 of 62,31 of 74,0,0,1:06,12 of 42,8 of 13,2 of 2,22 of 56,0 of 1,0 of 0,14 of 52,2 of 5,3 of 5,17 of 59,2 of 3,0 of 0
Austin Lingo,Youssef Zalal,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jeff Rexroad,"February 08, 2020","Houston, Texas, USA",http://ufcstats.com/event-details/b26d3e3746fb4024,0,8 of 30,10 of 32,0,0,1:00,0,16 of 31,18 of 36,0,0,0:40,4 of 22,3 of 6,1 of 2,7 of 26,1 of 4,0 of 0,10 of 23,2 of 4,4 of 4,15 of 29,1 of 1,0 of 1
Andre Ewell,Jonathan Martinez,Decision - Split,3,5:00,3 Rnd (5-5-5),Kerry Hatley,"February 08, 2020","Houston, Texas, USA",http://ufcstats.com/event-details/b26d3e3746fb4024,0,27 of 55,29 of 58,0,0,0:02,0,17 of 34,25 of 43,0,0,1:30,10 of 37,13 of 14,4 of 4,27 of 54,0 of 1,0 of 0,7 of 20,4 of 7,6 of 7,16 of 33,1 of 1,0 of 0
Sean Brady,Ismail Naurdiev,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Scott Howard,"February 29, 2020","Norfolk, Virginia, USA",http://ufcstats.com/event-details/fc9a9559a05f2704,0,19 of 45,19 of 45,0,0,0:00,0,28 of 66,28 of 66,0,0,0:13,9 of 33,2 of 2,8 of 10,19 of 45,0 of 0,0 of 0,12 of 48,8 of 8,8 of 10,24 of 59,4 of 7,0 of 0
Aalon Cruz,Spike Carlyle,KO/TKO,1,1:25,3 Rnd (5-5-5),Scott Howard,"February 29, 2020","Norfolk, Virginia, USA",http://ufcstats.com/event-details/fc9a9559a05f2704,0,2 of 12,2 of 12,0,0,0:05,0,20 of 29,29 of 38,0,0,0:07,2 of 4,0 of 4,0 of 4,2 of 12,0 of 0,0 of 0,19 of 27,0 of 1,1 of 1,2 of 6,4 of 5,14 of 18
Jalin Turner,Josh Culibao,KO/TKO,2,3:01,3 Rnd (5-5-5),Mark Craig,"February 22, 2020","Auckland, New Zealand",http://ufcstats.com/event-details/33b2f68ef95252e0,0,22 of 39,25 of 43,2,0,2:53,0,8 of 18,8 of 20,0,0,0:10,9 of 19,13 of 20,0 of 0,7 of 19,6 of 11,9 of 9,4 of 12,3 of 5,1 of 1,5 of 14,3 of 4,0 of 0
Bruno Silva,David Dvorak,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Julio Catarino,"March 14, 2020","Brasilia, Distrito Federal, Brazil",http://ufcstats.com/event-details/53278852bcd91e11,0,19 of 33,23 of 37,0,0,0:50,0,14 of 38,21 of 47,0,0,0:00,11 of 23,3 of 4,5 of 6,15 of 26,2 of 2,2 of 5,6 of 27,6 of 8,2 of 3,13 of 35,1 of 3,0 of 0
Chris Gutierrez,Vince Morales,KO/TKO,2,4:27,3 Rnd (5-5-5),Jason Herzog,"May 30, 2020","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/14b9e0f2679a2205,0,32 of 51,32 of 51,0,0,0:00,0,5 of 14,5 of 14,0,0,0:00,11 of 25,1 of 2,20 of 24,32 of 51,0 of 0,0 of 0,2 of 11,3 of 3,0 of 0,5 of 14,0 of 0,0 of 0
Jordan Griffin,TJ Brown,Submission,2,3:38,3 Rnd (5-5-5),Mike King,"February 29, 2020","Norfolk, Virginia, USA",http://ufcstats.com/event-details/fc9a9559a05f2704,0,5 of 8,7 of 10,2,0,0:05,0,18 of 24,56 of 70,0,0,4:29,5 of 8,0 of 0,0 of 0,4 of 7,1 of 1,0 of 0,13 of 18,5 of 5,0 of 1,2 of 6,7 of 7,9 of 11
Louis Smolka,Casey Kenney,Submission,1,3:03,3 Rnd (5-5-5),Chris Tognoni,"May 30, 2020","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/14b9e0f2679a2205,0,18 of 43,18 of 43,0,0,0:00,0,32 of 52,32 of 52,1,0,0:09,4 of 16,14 of 27,0 of 0,16 of 41,2 of 2,0 of 0,15 of 34,5 of 6,12 of 12,31 of 51,1 of 1,0 of 0
Veronica Hardy,Bea Malecki,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,"March 14, 2020","Brasilia, Distrito Federal, Brazil",http://ufcstats.com/event-details/53278852bcd91e11,0,37 of 112,37 of 112,0,0,0:00,0,36 of 81,36 of 81,0,0,0:00,19 of 83,10 of 21,8 of 8,36 of 106,1 of 6,0 of 0,25 of 59,9 of 20,2 of 2,35 of 78,1 of 3,0 of 0
Tim Elliott,Brandon Royval,Submission,2,3:18,3 Rnd (5-5-5),Mark Smith,"May 30, 2020","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/14b9e0f2679a2205,0,12 of 19,30 of 37,0,1,3:08,0,12 of 18,13 of 19,1,0,0:24,6 of 13,2 of 2,4 of 4,6 of 11,3 of 5,3 of 3,7 of 13,3 of 3,2 of 2,9 of 15,1 of 1,2 of 2
Katlyn Chookagian,Antonina Shevchenko,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,"May 30, 2020","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/14b9e0f2679a2205,0,20 of 24,70 of 77,4,0,4:27,0,3 of 4,4 of 5,0,0,0:00,17 of 20,1 of 1,2 of 3,2 of 4,2 of 2,16 of 18,0 of 1,1 of 1,2 of 2,3 of 4,0 of 0,0 of 0
Tyron Woodley,Gilbert Burns,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,"May 30, 2020","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/14b9e0f2679a2205,0,2 of 8,5 of 11,0,0,0:02,0,25 of 34,29 of 38,0,0,2:26,0 of 5,2 of 3,0 of 0,2 of 8,0 of 0,0 of 0,19 of 26,3 of 3,3 of 5,8 of 15,2 of 3,15 of 16
Mackenzie Dern,Hannah Cifers,Submission,1,2:36,3 Rnd (5-5-5),Jason Herzog,"May 30, 2020","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/14b9e0f2679a2205,0,5 of 21,5 of 21,1,0,0:00,0,7 of 26,11 of 31,0,0,0:24,2 of 18,1 of 1,2 of 2,5 of 21,0 of 0,0 of 0,3 of 19,3 of 6,1 of 1,3 of 19,4 of 5,0 of 2
Jamahal Hill,Klidson Abreu,Overturned,1,1:51,3 Rnd (5-5-5),Herb Dean,"May 30, 2020","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/14b9e0f2679a2205,2,14 of 24,14 of 24,0,0,0:02,0,5 of 7,5 of 7,0,0,0:00,9 of 19,4 of 4,1 of 1,9 of 18,2 of 2,3 of 4,0 of 2,1 of 1,4 of 4,4 of 6,1 of 1,0 of 0
Roosevelt Roberts,Brok Weaver,Submission,2,3:26,3 Rnd (5-5-5),Herb Dean,"May 30, 2020","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/14b9e0f2679a2205,0,21 of 37,24 of 40,1,0,0:44,0,9 of 36,17 of 45,0,0,1:58,9 of 23,6 of 8,6 of 6,19 of 35,2 of 2,0 of 0,5 of 29,4 of 5,0 of 2,9 of 34,0 of 2,0 of 0
Daniel Rodriguez,Gabe Green,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"May 30, 2020","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/14b9e0f2679a2205,0,34 of 72,34 of 72,0,0,0:00,0,26 of 68,26 of 68,0,0,0:00,20 of 57,11 of 12,3 of 3,34 of 72,0 of 0,0 of 0,4 of 43,11 of 13,11 of 12,26 of 68,0 of 0,0 of 0
Blagoy Ivanov,Augusto Sakai,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason McCoy,"May 30, 2020","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/14b9e0f2679a2205,0,15 of 27,19 of 31,0,0,0:29,0,12 of 38,16 of 42,0,0,0:18,9 of 21,6 of 6,0 of 0,10 of 22,5 of 5,0 of 0,3 of 24,4 of 8,5 of 6,10 of 35,2 of 3,0 of 0
Billy Quarantillo,Spike Carlyle,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"May 30, 2020","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/14b9e0f2679a2205,0,7 of 8,32 of 36,0,0,1:04,0,19 of 40,34 of 56,0,1,3:52,7 of 8,0 of 0,0 of 0,1 of 1,0 of 0,6 of 7,18 of 39,1 of 1,0 of 0,1 of 1,3 of 3,15 of 36
Matt Brown,Miguel Baeza,KO/TKO,2,0:18,3 Rnd (5-5-5),Jason Herzog,"May 16, 2020","Jacksonville, Florida, USA",http://ufcstats.com/event-details/dfb965c9824425db,0,33 of 59,33 of 59,0,0,0:10,1,32 of 65,37 of 71,0,0,0:55,25 of 49,8 of 10,0 of 0,21 of 42,12 of 17,0 of 0,17 of 48,5 of 6,10 of 11,25 of 56,1 of 2,6 of 7
Rodrigo Nascimento,Don'Tale Mayes,Submission,2,2:05,3 Rnd (5-5-5),Dan Miragliotta,"May 16, 2020","Jacksonville, Florida, USA",http://ufcstats.com/event-details/dfb965c9824425db,0,21 of 39,33 of 51,0,0,2:03,0,16 of 33,26 of 44,0,0,0:36,8 of 25,4 of 5,9 of 9,18 of 35,2 of 2,1 of 2,6 of 22,2 of 3,8 of 8,15 of 31,1 of 2,0 of 0
Cortney Casey,Mara Romero Borella,Submission,1,3:36,3 Rnd (5-5-5),Michael Cardoso,"May 16, 2020","Jacksonville, Florida, USA",http://ufcstats.com/event-details/dfb965c9824425db,0,6 of 12,18 of 24,2,0,0:00,0,5 of 7,21 of 24,0,0,2:55,4 of 8,1 of 1,1 of 3,2 of 7,1 of 2,3 of 3,2 of 4,1 of 1,2 of 2,2 of 4,2 of 2,1 of 1
